experiment,img_set,filename,y_shift,x_shift
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-0,7.0,1.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-1,13.0,-3.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-2,22.0,-4.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-3,17.0,-10.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-4,11.0,-16.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-5,-5.0,-29.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-6,4.0,-38.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-7,-9.0,1.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-0,12.0,6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-1,15.0,0.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-2,22.0,1.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-3,28.0,-6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-4,-6.0,-7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-5,-13.0,-20.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-6,12.0,-29.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-7,0.0,5.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-0,8.0,7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-1,16.0,0.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-2,24.0,1.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-3,31.0,-7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-4,6.0,-8.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-5,-9.0,-18.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-6,9.0,-27.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-7,-5.0,6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-0,10.0,6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-1,13.0,0.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-2,22.0,2.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-3,29.0,-6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-4,5.0,-7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-5,0.0,-20.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-6,6.0,-30.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-7,-6.0,5.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-155706,20201113-155706-0,12.0,6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-155706,20201113-155706-1,14.0,-10.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-155706,20201113-155706-2,21.0,2.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-155706,20201113-155706-3,29.0,-6.0
